Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:07:36,28.3,37.8,67.2,2.22,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:07:38,28.8,36.6,67.3,2.26,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:07:40,28.9,36.7,67.2,2.25,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:07:43,28.8,36.8,67.3,2.21,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:07:45,28.8,36.8,67.4,2.17,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:07:47,28.8,36.9,66.1,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:07:49,28.9,37.1,65.6,2.25,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:07:52,28.9,37.2,47.1,2.19,Watering,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:07:55,28.9,37.4,43.6,2.24,Watering,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:07:59,28.9,37.3,42.8,2.24,Watering,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:03,28.9,37.4,45.3,2.24,Watering,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:07,28.9,37.4,68.2,2.2,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:09,28.9,37.3,67.9,2.22,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:11,28.9,37.2,67.9,0.95,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:14,28.9,37.1,67.9,0.91,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:16,28.9,37.1,68.0,1.94,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:19,28.9,37.1,67.7,2.22,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:21,28.9,37.2,68.2,0.88,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:24,28.9,37.2,68.6,0.84,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:26,28.9,37.1,68.5,0.83,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:28,28.9,37.0,62.2,0.8,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:30,28.9,37.0,60.8,0.86,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:33,28.9,36.9,68.3,0.77,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:35,28.9,36.9,67.1,0.85,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:37,28.9,37.0,51.5,0.7,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:39,28.9,37.0,43.0,2.19,Watering,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:44,28.9,37.0,33.5,2.18,Watering,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:47,28.9,36.9,34.1,1.17,Watering,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:51,28.9,36.9,35.3,1.12,Watering,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:55,28.9,37.2,35.7,1.19,Watering,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:08:59,28.9,37.1,34.3,2.16,Watering,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:03,28.9,36.9,68.4,2.2,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:05,28.9,36.8,68.4,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:08,28.9,37.0,67.6,2.18,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:10,28.9,37.2,57.9,2.14,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:12,28.9,37.4,56.5,2.17,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:14,,,55.6,2.21,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:17,28.9,37.8,56.1,2.18,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:19,28.8,37.7,57.0,2.13,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:21,28.9,37.7,67.9,0.81,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:24,28.8,37.6,68.3,0.9,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:26,28.8,37.4,68.4,2.19,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:29,28.8,37.3,68.4,2.2,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:31,28.8,37.1,68.2,2.17,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:33,28.8,37.2,68.3,2.18,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:36,28.8,37.3,68.3,2.17,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:38,28.8,37.4,68.2,2.19,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:40,28.8,37.4,68.2,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:42,28.8,37.4,68.1,2.17,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:45,28.8,37.4,68.1,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:47,28.8,37.4,68.1,2.16,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:49,28.8,37.4,68.1,2.18,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:51,28.8,37.5,68.1,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:54,28.7,37.5,68.1,2.18,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:56,28.7,37.5,68.1,2.16,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:09:58,28.7,37.5,68.0,2.18,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:00,28.7,37.7,68.0,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:03,28.7,37.6,68.0,2.22,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:05,28.7,37.6,68.1,2.16,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:07,28.7,37.7,68.0,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:10,28.7,37.7,68.1,2.2,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:12,28.7,37.7,68.0,2.16,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:14,28.7,37.7,67.9,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:16,28.7,37.6,67.9,2.18,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:19,28.7,37.5,68.0,2.17,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:21,28.6,37.4,68.0,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:23,28.7,37.4,68.0,2.19,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:25,28.6,37.3,67.9,2.16,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:28,28.6,37.4,68.0,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:30,28.6,37.3,67.9,2.18,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:32,28.7,37.2,67.9,2.17,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:34,28.7,37.2,67.8,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:37,28.6,37.2,67.8,2.2,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:39,28.6,37.1,67.8,2.16,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:41,28.7,37.1,67.8,2.18,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:43,28.6,37.0,67.7,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:46,28.7,37.0,67.8,2.23,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:48,28.7,37.0,67.8,2.19,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:50,28.6,36.9,67.8,2.16,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:53,28.7,37.0,67.7,2.17,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:55,28.7,37.0,67.8,2.21,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:57,28.7,37.1,67.8,1.91,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:10:59,28.6,37.1,67.7,0.8,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:11:02,28.7,37.1,67.7,0.36,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:11:04,28.7,37.2,67.7,0.31,Idle,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:11:07,28.7,37.2,67.6,2.25,Idle,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:11:09,28.7,37.2,47.6,2.25,Watering,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:11:13,28.7,37.2,36.4,2.26,Watering,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:11:17,28.7,37.4,35.6,0.76,Watering,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:11:21,28.7,37.3,34.9,0.85,Watering,On
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:11:25,28.7,37.3,35.1,2.28,Watering,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:11:29,28.7,37.2,34.9,2.26,Watering,Off
Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
17:11:33,28.7,37.0,34.9,0.84,Watering,On
