Time,Temperature (C),Humidity (%),Moisture (%),Light (V),Water Status,Light Status
14:08:59,21.7,51.7,66.2,1.58,Idle,On
14:09:02,20.4,50.4,66.1,1.57,Idle,On
14:09:04,20.5,50.5,66.2,1.58,Idle,On
14:09:06,20.5,50.4,66.3,1.58,Idle,On
14:09:08,20.5,50.4,66.1,1.57,Idle,On
14:09:11,20.4,50.4,66.1,1.58,Idle,On
14:09:13,20.5,50.4,66.2,1.58,Idle,On
14:09:15,20.5,50.3,66.2,1.58,Idle,On
14:09:17,20.5,50.4,66.1,1.49,Idle,On
14:09:20,20.5,50.4,66.3,1.45,Idle,On
14:09:22,20.4,50.4,66.3,1.48,Idle,On
14:09:24,20.5,50.5,66.2,1.53,Idle,On
14:09:26,20.5,50.4,66.2,1.56,Idle,On
14:09:29,20.5,50.4,66.2,1.54,Idle,On
14:09:31,20.4,50.4,66.2,1.54,Idle,On
14:09:33,20.5,50.5,66.2,1.55,Idle,On
14:09:35,20.5,50.5,66.1,1.54,Idle,On
14:09:38,20.5,50.3,66.1,1.55,Idle,On
14:09:40,20.5,50.4,66.2,1.54,Idle,On
14:09:42,20.5,50.4,66.2,1.55,Idle,On
14:09:44,20.5,50.4,66.2,1.53,Idle,On
14:09:47,20.4,50.4,66.2,1.52,Idle,On
14:09:49,20.4,50.4,66.2,1.58,Idle,On
14:09:51,20.4,50.5,66.1,1.58,Idle,On
14:09:53,20.4,50.4,66.2,1.53,Idle,On
14:09:56,20.5,50.4,66.1,1.57,Idle,On
14:09:58,20.5,50.5,66.2,1.59,Idle,On
14:10:00,20.4,50.4,66.1,1.57,Idle,On
14:10:02,20.5,50.4,66.1,1.59,Idle,On
14:10:05,20.5,50.5,66.2,1.58,Idle,On
14:10:07,20.4,50.4,66.1,1.59,Idle,On
14:10:09,20.5,50.3,66.2,1.59,Idle,On
14:10:12,Error,Error,66.3,1.58,Idle,On
14:10:14,20.5,50.4,66.2,1.52,Idle,On
14:10:16,20.5,50.5,66.3,1.50,Idle,On
14:10:18,20.5,50.4,66.2,1.51,Idle,On
14:10:21,20.4,50.4,66.2,1.53,Idle,On
14:10:23,20.5,50.4,66.1,1.51,Idle,On
14:10:25,20.4,50.4,66.2,1.53,Idle,On
14:10:27,20.4,50.4,66.1,1.51,Idle,On
14:10:30,20.4,50.3,66.2,1.52,Idle,On
14:10:32,20.5,50.4,66.2,1.53,Idle,On
14:10:34,20.5,50.4,66.2,1.53,Idle,On
14:10:36,20.4,50.4,66.1,1.51,Idle,On
14:10:39,20.5,50.4,66.1,1.53,Idle,On
14:10:41,20.5,50.3,66.2,1.50,Idle,On
14:10:43,20.5,50.4,66.1,1.55,Idle,On
14:10:45,20.4,50.4,66.1,1.56,Idle,On
14:10:48,20.5,50.3,66.2,1.56,Idle,On
14:10:50,Error,Error,66.1,1.58,Idle,On
14:10:52,20.4,50.3,66.2,1.57,Idle,On
14:10:54,20.5,50.3,66.1,1.56,Idle,On
14:10:57,20.5,50.3,66.2,1.53,Idle,On
14:10:59,20.5,50.4,66.1,1.52,Idle,On
14:11:01,20.4,50.3,66.0,1.52,Idle,On
14:11:03,20.4,50.3,66.2,1.54,Idle,On
14:11:06,20.4,50.3,66.2,1.51,Idle,On
14:11:08,20.5,50.3,66.2,1.52,Idle,On
14:11:10,20.5,50.4,66.1,1.57,Idle,On
14:11:12,20.4,50.3,66.2,1.55,Idle,On
14:11:15,20.5,50.3,66.3,1.56,Idle,On
14:11:17,20.5,50.3,66.1,1.50,Idle,On
14:11:19,20.5,50.4,66.1,1.52,Idle,On
14:11:21,20.4,50.4,66.1,1.51,Idle,On
14:11:24,20.5,50.3,66.3,1.49,Idle,On
14:11:26,20.5,50.5,66.2,1.51,Idle,On
14:11:28,20.4,50.4,66.1,1.51,Idle,On
14:11:30,Error,Error,66.2,1.52,Idle,On
14:11:33,20.4,50.4,66.2,1.51,Idle,On
14:11:35,20.5,50.5,66.2,1.48,Idle,On
14:11:37,Error,Error,66.1,1.49,Idle,On
14:11:40,Error,Error,66.1,1.48,Idle,On
14:11:42,20.5,50.4,66.2,1.51,Idle,On
14:11:44,20.5,50.5,66.1,1.47,Idle,On
14:11:46,20.4,50.4,66.1,1.51,Idle,On
14:11:49,20.5,50.3,66.2,1.51,Idle,On
14:11:51,Error,Error,66.1,1.51,Idle,On
14:11:53,20.4,50.4,66.2,1.50,Idle,On
14:11:55,Error,Error,66.1,1.53,Idle,On
14:11:58,20.5,50.4,66.2,1.52,Idle,On
14:12:00,20.4,50.4,66.1,1.48,Idle,On
14:12:02,20.5,50.5,66.2,1.51,Idle,On
14:12:04,20.5,50.5,66.1,1.54,Idle,On
14:12:07,20.4,50.6,66.1,1.51,Idle,On
14:12:09,20.4,50.4,66.1,1.53,Idle,On
14:12:11,20.4,50.5,66.2,1.52,Idle,On
14:12:13,20.4,50.5,66.2,1.53,Idle,On
14:12:16,20.4,50.4,66.1,1.55,Idle,On
14:12:18,20.5,50.6,66.1,1.55,Idle,On
14:12:20,20.4,50.6,66.2,1.56,Idle,On
14:12:22,20.4,50.4,66.1,1.56,Idle,On
14:12:25,20.4,50.4,66.2,1.55,Idle,On
